Generation of multi rbc models.

246 atoms

1 atom types
0.000 1000.000 xlo xhi
0.000 3000.000 ylo yhi
0.000 1000.000 zlo zhi

Atoms

142 1 530.60830128 461.18656006 507.62246449
143 1 535.97243496 468.31257672 514.29409227
144 1 539.88536827 469.97917894 502.84384585
145 1 455.37167886 479.89042075 510.36573551
146 1 459.68786254 478.44994026 520.39160451
147 1 543.34413942 478.05163773 511.88197056
148 1 547.85860554 489.18291478 509.66683602
149 1 451.24585094 491.45440948 507.27049427
150 1 454.63146145 489.68648721 518.44389646
151 1 547.64494187 500.18521193 515.22029863
152 1 452.32433883 512.51613905 508.54489308
153 1 547.59697209 511.93096616 509.62606076
154 1 458.51003542 524.00999284 514.33216682
155 1 461.69361049 531.62007624 505.86248213
156 1 542.54794014 521.25796079 515.46894218
157 1 470.17538488 539.93298397 504.09055689
158 1 467.45201450 534.89094763 515.04312206
159 1 477.65445582 542.77404739 513.16698172
160 1 530.46165083 539.44739968 503.91415661
161 1 537.92965358 531.20298084 509.38246778
162 1 488.89460245 548.18189996 507.48636285
163 1 498.60317111 548.13700399 513.51374535
164 1 509.58123444 548.61299099 506.72107550
165 1 519.68668030 544.55504722 511.32049845
166 1 501.43546686 453.10511772 517.40621000
167 1 513.81994077 455.90477303 519.20275384
168 1 466.61053491 468.56205840 520.05081193
169 1 473.80184229 468.63731828 528.92653468
170 1 483.63097032 461.26974744 527.17184032
171 1 494.46297853 456.93053254 524.90070597
172 1 505.53131194 458.72250981 527.77516132
173 1 525.09862563 461.45277363 519.69674369
174 1 531.50027440 469.78117560 524.47388819
175 1 460.51039411 488.69394924 528.62411389
176 1 466.07186597 478.03422701 529.55030633
177 1 538.95662498 478.11701959 522.52177704
178 1 544.38367467 488.48073194 520.00784247
179 1 451.94909049 501.34355984 513.89871102
180 1 456.47510341 500.20169258 524.72467801
181 1 543.09300777 499.21075469 525.41906108
182 1 455.37012217 511.77001912 519.34493205
183 1 461.37905030 510.06029811 530.22744125
184 1 544.12105780 510.60511728 521.06106574
185 1 461.19516824 520.10959007 524.39323125
186 1 535.18099596 528.97587681 520.62072158
187 1 537.45073495 519.49432161 526.85503308
188 1 528.65374051 525.94430469 531.79074241
189 1 467.45256297 529.33699651 524.18359547
190 1 476.89761720 537.78999110 523.29135286
191 1 528.73544582 538.15815167 514.82085064
192 1 526.28038484 534.37302279 525.12613542
193 1 517.86514602 540.99889036 522.42726884
194 1 487.55616711 544.47595960 519.24013372
195 1 497.69154344 543.19391980 525.15873971
196 1 508.45585149 545.65582757 518.61534475
197 1 483.53602369 468.88405130 535.61517360
198 1 494.38077945 471.73833307 540.96425493
199 1 494.47795213 463.32822257 533.64302659
200 1 505.47988359 466.31561362 536.64289560
201 1 516.18154126 462.73605658 529.24623140
202 1 523.93615929 469.58760809 531.75033894
203 1 469.00841884 488.16575528 537.51674683
204 1 474.57656184 478.07150822 537.15942897
205 1 484.26831353 478.11214971 542.21584719
206 1 514.43563264 471.95794323 538.89358720
207 1 523.09909285 479.65674437 539.49435150
208 1 538.27644560 488.02919855 529.94220820
209 1 531.79886014 479.49029149 532.77094994
210 1 463.58748371 499.09015079 534.36125494
211 1 479.79652848 488.27110267 544.30866313
212 1 536.35387852 498.19086574 534.36183787
213 1 529.63653147 490.93691885 539.32327747
214 1 469.64048629 510.17997065 538.50274339
215 1 472.38447652 498.92401267 541.77044853
216 1 479.37383736 510.32351005 544.45949902
217 1 537.87769855 509.15327514 531.40553885
218 1 529.54581831 504.55595527 540.16214816
219 1 468.76431204 520.72199408 533.19003659
220 1 478.11396128 520.89487160 539.90051945
221 1 517.79037770 533.42696394 532.72989134
222 1 529.70960277 515.97811957 536.98575288
223 1 519.57981172 523.94370830 539.36726987
224 1 476.91190406 530.38174985 532.40366274
225 1 487.43253205 529.25601951 538.64141978
226 1 487.03566444 538.02326380 529.85621198
227 1 497.62544059 535.45195976 535.26385580
228 1 507.90652639 539.45985981 529.75031391
229 1 508.31221300 530.49029691 538.82988700
230 1 503.48905327 476.53404189 544.11109276
231 1 492.56114143 483.01922303 546.53529471
232 1 502.30597817 488.53121721 548.70756126
233 1 512.39181667 482.71417640 545.34484471
234 1 520.44240656 490.04008993 544.62021108
235 1 482.03469317 499.41568209 546.75621477
236 1 491.15910446 493.95237135 548.93623291
237 1 500.57279418 501.34173093 550.07193155
238 1 510.92449948 495.65976406 548.69033656
239 1 521.14932277 501.01622033 545.38304578
240 1 490.56788443 507.18061224 548.66923712
241 1 500.10967253 514.08412148 548.06614887
242 1 510.72188536 507.89780743 548.28336234
243 1 520.37999247 513.03113366 543.84416543
244 1 488.80544813 518.66647338 545.10683707
245 1 498.42558099 525.49031729 543.07431709
246 1 509.78130385 519.96376829 544.87270989
